,Age,height_cm,weight_kg,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,overall,mental_score
0,32,190,80,79,72,68,72,80,45.0,76,37.0
1,26,191,91,85,84,85,90,89,51.0,89,38.8
2,22,192,83,80,73,73,74,80,52.0,77,28.2
3,29,187,82,82,80,70,79,84,49.0,82,31.4
4,26,191,91,79,79,74,79,82,48.0,80,35.8
5,30,194,92,76,76,67,75,78,28.0,76,33.0
6,22,190,78,78,74,73,76,84,29.0,77,27.8
7,28,187,85,86,80,74,83,89,50.0,85,34.6
8,36,188,84,75,73,65,74,75,32.0,74,35.0
9,27,197,86,83,79,79,82,83,45.0,83,30.0
10,30,185,83,82,83,78,81,83,52.0,83,35.6
11,32,189,82,81,82,72,80,83,40.0,81,30.2
12,32,187,88,81,77,79,79,80,51.0,80,30.2
13,27,199,96,85,89,72,85,87,49.0,88,34.6
14,25,184,78,84,78,69,76,88,39.0,81,36.0
15,27,194,94,76,79,78,81,81,37.0,80,28.4
16,20,196,90,90,80,74,80,90,50.0,85,37.2
17,21,188,74,71,69,70,72,76,44.0,73,36.4
18,30,190,80,77,80,81,79,81,46.0,80,33.8
19,25,188,86,86,82,93,86,88,63.0,88,43.0
20,34,190,83,80,83,70,82,84,48.0,82,39.0
21,36,193,90,79,79,73,78,81,49.0,80,35.0
22,26,193,90,77,73,68,73,79,36.0,75,34.0
23,27,196,90,76,74,84,75,78,64.0,75,38.6
24,31,190,81,76,73,75,74,78,28.0,75,26.4
25,24,194,90,77,72,67,76,78,47.0,76,29.0
26,29,192,86,84,86,81,84,86,43.0,85,31.2
27,32,182,82,78,75,74,75,79,45.0,77,30.6
28,33,187,92,79,78,74,81,82,55.0,80,35.0
29,22,190,85,75,71,72,73,76,49.0,75,26.8
30,26,192,90,82,80,79,78,84,48.0,81,31.4
31,29,192,85,85,79,69,82,86,41.0,83,32.2
32,34,190,86,79,82,76,86,84,43.0,83,30.8
33,26,197,89,74,70,67,71,71,39.0,71,32.0
34,22,192,84,63,53,58,53,54,25.0,56,19.8
35,26,197,95,78,77,72,75,78,41.0,77,31.2
36,31,188,74,74,72,68,68,75,39.0,73,39.6
37,20,193,82,80,77,71,76,83,46.0,79,29.2
38,22,181,70,74,75,66,68,76,50.0,73,27.2
39,28,186,78,82,78,78,81,83,42.0,82,31.4
40,27,190,83,83,81,78,84,85,56.0,84,35.6
41,32,188,82,89,82,68,84,91,63.0,88,35.2
42,28,184,81,87,80,75,84,89,64.0,85,36.2
43,24,191,89,78,77,78,78,83,46.0,80,30.2
44,34,185,80,80,79,74,79,81,48.0,80,35.6
45,29,193,79,77,75,64,75,80,57.0,76,40.6
46,27,197,86,77,73,70,76,78,34.0,77,26.8
47,22,190,83,79,74,70,77,82,45.0,78,30.2
48,21,190,85,75,72,71,73,79,43.0,75,27.0
49,25,191,93,80,77,74,79,81,44.0,78,37.2
50,33,193,92,87,87,91,85,87,57.0,88,45.6
51,22,193,86,75,69,77,74,81,47.0,75,20.6
52,26,188,87,87,92,78,90,89,52.0,91,37.8
53,29,196,86,78,77,76,78,78,36.0,78,33.2
54,30,183,80,83,73,78,78,85,34.0,80,34.4
55,31,184,79,74,68,63,73,77,46.0,73,33.0
56,27,196,81,86,79,70,80,88,36.0,84,23.6
57,26,188,77,82,82,71,79,87,56.0,82,33.4
58,25,185,77,82,78,87,82,86,48.0,83,48.2
59,27,200,76,78,80,75,80,79,48.0,79,35.2
60,22,188,78,79,69,72,74,80,40.0,75,27.8
61,21,188,77,68,66,65,66,71,49.0,68,34.6
62,28,185,90,76,73,75,77,80,45.0,77,32.8
63,35,188,79,70,66,71,71,72,45.0,70,35.8
64,32,188,93,82,84,75,85,82,48.0,84,36.6
65,27,189,84,83,77,77,75,86,51.0,81,36.2
66,27,184,82,81,75,82,78,83,52.0,80,40.6
67,32,189,89,82,77,79,79,88,58.0,83,40.0
68,27,190,84,78,76,71,74,80,37.0,78,24.8
69,27,190,88,80,74,73,77,80,36.0,78,33.8
70,28,185,75,74,76,61,73,79,47.0,75,29.0
71,28,191,80,78,68,68,74,79,60.0,74,34.0
72,32,192,80,84,80,76,84,82,51.0,84,36.0
73,28,187,84,80,75,54,75,81,51.0,76,31.6
74,30,183,79,79,85,81,80,87,51.0,84,38.4
75,24,191,86,76,72,74,73,84,53.0,76,38.0
76,24,193,78,84,78,75,79,87,44.0,82,33.8
77,29,195,90,85,82,73,86,88,49.0,86,37.0
78,27,187,85,88,85,88,88,90,45.0,90,43.8
79,29,189,86,82,77,79,83,85,49.0,83,33.4
80,30,188,85,82,72,74,82,85,37.0,81,37.0
81,24,194,96,73,71,64,71,77,65.0,73,25.4
82,25,185,78,70,68,67,72,74,43.0,71,26.2
