,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_19_20,Distribution_Score_19_20,Ball_Quality_Score_19_20,Positioning_Score_19_20,Sweeper_Score_19_20,short_version,short_name,long_name,player_positions,overall,club_name,age,dob,height_cm,weight_kg,league_name,club_position,nationality_name,pace,shooting,passing,skill_long_passing,skill_ball_control,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,birth_year
0,Adrián,es ESP,GK,Liverpool,eng Premier League,32,11,875,10.0,1.03,63.0,2.0,22.2,0.0,0.0,0.0,0.0,1987,1,0,1.0,1.0,7.5,0.28,-2.5,-0.26,99,36.4,70,27.1,29.2,241,33.2,33.0,1.44,15.3,127,5.5,100,0.13448275862068967,60.17958412098298,46.88079827400215,35.94570928196147,41.355062902148134,57.22738799661877,Adrián,Adrián,Adrián San Miguel del Castillo,GK,76,Liverpool,32,1987-01-03,190,80,eng Premier League,SUB,Spain,,,,32,23,51,69,38,63,20,38,12,32,44,59,79,72,68,72,80,45.0,1987
1,Alisson,br BRA,GK,Liverpool,eng Premier League,26,29,2543,23.0,0.81,72.5,13.0,44.8,1.0,1.0,0.0,0.0,1992,0,1,0.0,1.0,19.7,0.24,-2.3,-0.08,189,45.0,167,27.5,30.9,778,18.4,27.4,2.23,19.2,299,3.3,100,0.1317241379310345,85.81285444234405,53.81769147788565,64.15936952714536,67.20292333242212,72.3396932737592,Alisson,Alisson,Alisson Ramsés Becker,GK,89,Liverpool,26,1992-10-02,191,91,eng Premier League,GK,Brazil,,,,44,30,64,52,32,78,14,27,13,66,23,65,85,84,85,90,89,51.0,1992
2,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,36,3240,60.0,1.67,67.9,9.0,25.0,8.0,7.0,0.0,1.0,1997,1,0,0.0,10.0,47.9,0.25,-8.1,-0.23,519,36.0,291,61.9,44.6,742,45.7,37.2,0.89,14.0,603,2.7,60,0.2117241379310345,63.35538752362949,68.45037756202805,62.26795096322242,76.97807220467935,49.64557420601377,E. Audero,E. Audero,Emil Audero Mulyadi,GK,77,U.C. Sampdoria,22,1997-01-18,192,83,it Serie A,GK,Italy,,,,19,18,55,65,25,55,19,24,9,30,22,56,80,73,73,74,80,52.0,1997
3,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,30,2700,49.0,1.63,69.9,7.0,23.3,7.0,5.0,2.0,0.0,1990,1,0,0.0,4.0,48.5,0.29,1.5,0.05,391,35.0,262,37.4,34.5,1019,28.8,29.9,0.9,13.9,485,3.7,50,0.4009615384615384,61.42722117202268,52.921790722761585,76.8213660245184,80.3339327868924,49.52662721893491,O. Baumann,O. Baumann,Oliver Baumann,GK,82,TSG Hoffenheim,29,1990-06-02,187,82,de Bundesliga,GK,Germany,,,,25,17,53,73,39,69,13,32,10,41,22,52,82,80,70,79,84,49.0,1990
4,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,26,2340,36.0,1.38,75.4,4.0,15.4,6.0,4.0,1.0,1.0,1993,0,0,0.0,6.0,41.1,0.28,7.1,0.27,150,34.7,214,25.7,28.9,574,16.6,24.4,0.65,13.3,421,2.6,45,0.7778846153846153,52.46691871455576,45.09924487594391,53.44133099824869,67.14411544379593,46.06146600652095,W. Benítez,W. Benítez,Walter Daniel Benítez,GK,80,OGC Nice,26,1993-01-19,191,91,fr Ligue 1,GK,Argentina,,,,27,14,56,57,42,80,14,28,18,46,25,62,79,79,74,79,82,48.0,1993
5,Etrit Berisha,al ALB,GK,SPAL,it Serie A,30,26,2340,44.0,1.69,74.1,3.0,11.5,6.0,6.0,0.0,0.0,1989,2,0,1.0,2.0,45.4,0.27,3.4,0.13,389,42.2,233,57.9,44.1,642,39.6,34.0,0.81,14.3,419,2.9,60,0.5288461538461539,48.04347826086956,70.87702265372167,57.01401050788091,69.76865098663868,49.558628185001815,E. Berisha,E. Berisha,Etrit Berisha,GK,76,SPAL,30,1989-03-10,194,92,it Serie A,GK,Albania,,,,26,17,50,57,39,64,15,30,12,42,22,59,76,76,67,75,78,28.0,1989
6,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,25,2204,38.0,1.55,68.5,6.0,24.0,4.0,4.0,0.0,0.0,1997,0,0,0.0,2.0,30.1,0.26,-6.9,-0.28,379,34.3,175,73.1,50.7,530,47.4,37.1,1.06,15.6,265,4.2,45,0.19517241379310346,62.22117202268431,75.1294498381877,51.12959719789843,61.30860940266154,54.47772008211569,P. Bernardoni,P. Bernardoni,Paul Jean François Bernardoni,GK,77,Nîmes Olympique,22,1997-04-18,190,78,fr Ligue 1,GK,France,,,,24,25,55,70,36,68,16,29,15,21,19,55,78,74,73,76,84,29.0,1997
7,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,28,31,2770,40.0,1.3,61.1,12.0,38.7,3.0,3.0,0.0,0.0,1990,0,0,0.0,7.0,34.5,0.35,-2.5,-0.08,272,30.9,201,30.3,33.1,847,24.9,30.0,1.46,18.2,309,3.6,50,0.13448275862068967,78.89413988657844,46.94390507011867,67.784588441331,52.570855597491004,63.4283299118464,R. Bürki,R. Bürki,Roman Bürki,GK,85,Borussia Dortmund,28,1990-11-14,187,85,de Bundesliga,GK,Switzerland,,,,24,23,56,74,36,74,14,35,10,50,20,58,86,80,74,83,89,50.0,1990
8,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,36,26,2340,32.0,1.23,65.1,11.0,42.3,3.0,3.0,0.0,0.0,1983,0,0,2.0,1.0,26.7,0.29,-5.3,-0.2,342,34.8,203,72.4,50.6,494,39.5,35.9,0.85,15.1,319,4.7,45,0.17310344827586208,82.97731568998108,75.16073354908306,49.23817863397548,54.39326498981573,51.57529283902911,L. Butelle,L. Butelle,Ludovic Butelle,GK,74,Angers SCO,36,1983-04-03,188,84,fr Ligue 1,GK,France,,,,23,23,49,63,28,69,12,35,15,44,22,59,75,73,65,74,75,32.0,1983
9,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,26,2340,38.0,1.46,67.6,5.0,19.2,4.0,4.0,0.0,0.0,1992,1,0,1.0,4.0,34.3,0.29,-3.7,-0.14,420,44.5,178,58.4,45.3,792,39.9,35.5,1.31,16.6,356,5.1,50,0.1510344827586207,56.77693761814744,73.36407766990291,64.89492119089317,58.795562258586585,58.77369882864389,K. Casteels,K. Casteels,Koen Casteels,GK,83,VfL Wolfsburg,27,1992-06-25,197,86,de Bundesliga,GK,Belgium,,,,37,23,59,58,44,72,18,33,15,42,20,40,83,79,79,82,83,45.0,1992
