,Age,height_cm,weight_kg,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,overall,mental_score
0,18,189,73,66,67,65,69,69,38.0,68,28.2
1,28,191,91,86,86,84,90,89,52.0,89,38.8
2,24,192,83,80,73,73,76,82,53.0,78,28.2
3,27,191,81,69,67,68,65,71,45.0,70,32.4
4,31,187,82,81,80,79,79,82,49.0,82,31.4
5,31,193,84,73,72,65,71,74,49.0,73,30.4
6,28,191,93,80,79,72,80,83,48.0,80,35.6
7,24,190,78,78,74,73,77,82,29.0,77,27.8
8,24,190,78,78,74,73,77,82,29.0,77,27.8
9,23,180,85,73,69,65,69,75,53.0,72,26.6
10,30,193,83,80,74,69,75,77,46.0,77,36.4
11,30,192,78,82,79,76,81,84,36.0,82,35.2
12,38,184,80,77,78,84,78,78,56.0,78,42.4
13,31,187,78,72,70,68,73,73,46.0,72,23.4
14,27,191,87,73,64,59,70,72,44.0,69,23.4
15,29,197,86,85,83,80,84,87,45.0,86,30.0
16,32,185,83,81,80,78,81,79,54.0,81,35.6
17,34,189,82,81,82,72,80,83,42.0,81,30.2
18,34,187,82,78,77,77,78,80,49.0,79,31.0
19,29,199,96,84,89,74,86,88,46.0,89,34.6
20,27,184,78,82,80,73,80,84,39.0,81,36.0
21,27,196,87,75,74,71,69,71,29.0,72,23.8
22,27,188,84,74,76,72,76,76,36.0,75,31.4
23,34,191,86,72,72,75,77,77,38.0,75,38.4
24,23,188,90,63,60,63,58,61,27.0,60,23.8
25,22,196,90,91,83,79,85,90,52.0,89,39.2
26,32,188,81,69,70,67,65,71,49.0,69,23.6
27,32,190,80,79,78,80,79,82,46.0,81,34.8
28,27,188,86,87,82,93,88,88,64.0,89,49.8
29,36,190,83,82,82,71,83,82,49.0,82,39.0
30,23,180,77,70,69,69,74,76,52.0,73,34.4
31,28,195,87,76,69,75,73,77,31.0,75,25.6
32,33,201,93,75,71,64,74,79,30.0,75,36.2
33,38,193,90,78,77,73,78,78,46.0,78,34.8
34,28,186,79,73,71,72,73,74,40.0,73,34.4
35,33,190,81,80,74,64,77,82,28.0,79,26.4
36,27,196,80,76,76,70,75,76,42.0,76,34.6
37,25,195,93,70,72,70,71,75,28.0,73,23.8
38,21,190,78,73,70,68,72,74,26.0,72,21.2
39,31,191,86,85,84,76,82,86,43.0,85,31.6
40,28,192,90,77,77,60,70,78,47.0,76,29.4
41,31,192,83,85,78,69,83,87,40.0,83,32.2
42,23,195,88,80,78,77,74,83,26.0,79,33.4
43,33,188,74,77,75,71,77,79,40.0,77,38.0
44,22,196,90,80,76,69,74,82,47.0,78,29.2
45,35,180,75,75,72,76,73,77,46.0,75,31.6
46,28,186,83,78,77,67,74,80,46.0,77,27.2
47,34,188,82,88,83,65,84,90,61.0,87,39.2
48,30,184,81,84,78,70,80,86,63.0,82,36.6
49,34,195,85,77,70,61,78,77,38.0,76,25.4
50,36,190,86,68,68,62,66,65,36.0,67,26.6
51,26,191,89,83,81,85,84,86,50.0,84,37.0
52,20,199,88,76,77,71,76,79,44.0,75,20.8
53,28,195,88,85,83,82,83,85,58.0,84,43.4
54,31,193,79,74,74,61,75,80,57.0,75,40.6
55,21,196,74,79,76,73,73,81,36.0,77,35.0
56,24,202,90,69,69,78,69,70,42.0,70,37.0
57,25,191,82,74,71,70,72,76,41.0,74,31.6
58,23,190,88,76,74,72,73,81,43.0,77,27.0
59,27,191,93,82,78,73,82,86,44.0,81,37.2
60,27,188,82,76,67,68,71,78,50.0,73,28.0
61,34,185,80,89,84,75,87,89,54.0,88,41.6
62,35,193,93,88,88,91,89,88,56.0,90,45.6
63,24,193,88,75,65,71,76,85,48.0,75,20.6
64,28,188,87,87,92,78,90,90,50.0,91,37.8
65,27,189,80,77,75,73,75,79,50.0,77,33.4
66,28,185,88,73,72,86,74,85,52.0,78,36.4
67,32,183,80,82,72,77,77,84,34.0,79,33.8
68,33,184,80,79,73,69,78,83,47.0,78,31.0
69,28,197,90,66,64,64,66,66,41.0,65,25.0
70,27,185,77,83,78,87,80,86,49.0,83,48.4
71,29,199,76,81,83,75,83,84,49.0,83,35.8
72,22,184,85,68,66,64,67,66,20.0,67,23.8
73,27,192,84,75,73,66,72,75,42.0,74,35.8
74,25,191,85,77,76,74,79,81,25.0,78,24.6
75,23,188,77,75,72,69,71,76,48.0,74,34.6
76,32,186,83,73,71,72,72,76,52.0,74,44.2
77,29,189,84,80,79,78,79,80,54.0,80,36.2
78,34,189,89,84,78,80,83,90,47.0,85,40.0
79,26,188,83,72,68,76,68,73,47.0,71,39.0
80,29,190,84,76,75,66,76,80,37.0,77,25.6
81,29,190,88,76,75,75,76,76,36.0,77,36.0
82,30,191,80,82,77,63,80,82,59.0,79,30.8
83,34,192,85,82,77,76,84,80,46.0,82,36.0
84,30,187,84,78,72,54,74,81,51.0,75,31.6
85,32,183,79,79,81,84,86,86,50.0,85,39.6
86,26,193,78,82,77,74,77,84,43.0,80,33.8
87,31,195,90,86,82,73,87,88,49.0,87,37.0
88,29,187,85,88,85,88,88,90,43.0,90,43.8
89,31,193,78,72,67,64,69,75,41.0,71,31.6
90,31,189,88,82,78,79,82,84,48.0,82,33.4
91,24,188,76,70,69,64,73,73,26.0,71,29.0
92,26,194,96,74,70,64,72,79,65.0,74,25.4
