,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_18_19,Distribution_Score_18_19,Ball_Quality_Score_18_19,Positioning_Score_18_19,Sweeper_Score_18_19,short_version,short_name,long_name,player_positions,overall,club_name,age,dob,height_cm,weight_kg,league_name,club_position,nationality_name,pace,shooting,passing,skill_long_passing,skill_ball_control,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,birth_year
0,Alisson,br BRA,GK,Liverpool,eng Premier League,25,38,3420.0,22,0.58,77.1,21,55.3,1,0,0,1,1992,1,0,0,5,27.2,0.29,5.2,0.14,311,41.5,216,44.0,41.3,1072,20.1,28.8,1.55,16.6,385,4.2,100,0.5545454545454545,95.0,53.11928429423459,80.88859416445624,64.2892222314577,77.31189116560296,Alisson,Alisson,Alisson Ramsés Becker,GK,85,Liverpool,25,1992-10-02,191,91,eng Premier League,GK,Brazil,,,,44,30,21,52,32,78,14,27,13,66,23,65,82,81,85,83,88,49.0,1992
1,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,13,1170.0,17,1.31,77.8,1,7.7,1,1,0,0,1991,1,0,0,2,17.0,0.23,1.0,0.08,283,46.6,125,81.6,53.9,333,54.4,41.0,1.38,13.1,230,9.1,45,0.34895104895104895,43.35443037974684,82.24850894632206,41.684350132625994,60.74790742257062,64.77452133019818,B. Allain,B. Allain,Bobby Allain,GK,60,Dijon FCO,26,1991-11-28,185,77,fr Ligue 1,SUB,France,,,,24,23,18,45,25,55,17,20,6,31,26,45,62,57,59,57,62,28.0,1991
2,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,21,1890.0,17,0.81,80.3,11,52.4,4,4,0,0,1993,1,0,0,1,18.3,0.22,2.3,0.11,94,42.6,139,24.5,32.0,377,15.9,25.3,0.62,13.7,255,2.7,45,0.41258741258741255,91.85352622061484,38.05367793240556,44.0185676392573,61.74417411941972,55.591619079610346,A. Areola,A. Areola,Alphonse Areola,GK,81,Paris Saint-Germain,25,1993-02-27,195,94,fr Ligue 1,SUB,France,,,,32,22,25,59,28,80,14,26,17,34,25,64,83,78,70,77,84,53.0,1993
3,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,36,3240.0,51,1.42,70.1,11,30.6,8,7,1,0,1997,4,0,2,6,49.5,0.3,-0.5,-0.01,370,33.2,297,49.5,39.1,860,25.9,28.7,1.33,15.0,587,4.3,60,0.10840336134453782,68.20072332730561,47.04771371769384,69.64190981432361,67.8729810363763,69.53728585824656,E. Audero,E. Audero,Emil Audero Mulyadi,GK,69,U.C. Sampdoria,21,1997-01-18,190,80,it Serie A,GK,Italy,,,,19,18,23,65,25,55,19,24,9,30,22,56,74,66,63,65,77,52.0,1997
4,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,33,2970.0,51,1.55,72.9,5,15.2,6,6,0,0,1990,0,0,1,4,47.5,0.26,-2.5,-0.08,397,41.3,248,39.9,39.4,1036,28.8,29.3,1.76,18.0,441,3.2,50,0.14201680672268907,51.491862567811935,49.69582504970179,78.9787798408488,65.16303799975594,84.36597245549211,O. Baumann,O. Baumann,Oliver Baumann,GK,83,TSG Hoffenheim,28,1990-06-02,187,82,de Bundesliga,GK,Germany,,,,25,17,21,73,39,69,13,32,10,41,22,52,82,82,70,82,85,49.0,1990
5,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,24,2160.0,47,1.96,56.7,5,20.8,2,2,0,0,1987,0,0,0,5,34.5,0.32,-10.5,-0.44,328,39.3,192,67.7,49.9,466,42.5,35.9,0.67,11.3,365,6.6,100,0.27647058823529413,57.56781193490055,68.23260437375745,48.740053050397876,63.94712362344393,49.38654685925429,A. Begović,A. Begović,Asmir Begović,GK,79,AFC Bournemouth,31,1987-06-20,199,83,eng Premier League,GK,Bosnia and Herzegovina,,,,32,24,28,38,36,80,12,42,11,34,40,61,80,80,72,77,79,55.0,1987
6,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,23,2057.0,38,1.66,63.5,4,18.2,5,3,2,0,1983,2,0,0,3,34.2,0.31,-2.8,-0.12,225,38.7,186,50.5,41.1,462,28.4,30.3,0.66,12.6,327,2.8,45,0.14705882352941177,54.74683544303798,53.250497017892656,48.52785145888594,63.27735736606709,52.99294591871011,D. Benaglio,D. Benaglio,Diego Orlando Benaglio,GK,77,AS Monaco,34,1983-09-08,194,89,fr Ligue 1,SUB,Switzerland,,,,31,22,22,71,43,76,14,38,7,37,23,65,76,80,61,79,73,43.0,1983
7,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,35,3150.0,29,0.83,81.1,16,45.7,5,2,3,0,1993,1,0,0,5,40.4,0.25,12.4,0.35,344,36.9,308,51.6,41.2,838,22.1,28.5,0.4,11.5,559,3.0,45,0.906993006993007,84.58408679927669,52.45129224652088,68.47480106100795,81.86230990837402,46.08624454148472,W. Benítez,W. Benítez,Walter Daniel Benítez,GK,76,OGC Nice,25,1993-01-19,191,91,fr Ligue 1,GK,Argentina,,,,27,14,25,57,42,80,14,28,18,46,25,62,75,77,68,77,79,47.0,1993
8,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,18,1620.0,25,1.39,61.9,5,27.8,2,1,0,1,1989,1,0,1,5,18.2,0.27,-3.8,-0.21,199,45.7,135,80.0,51.7,345,26.4,30.3,1.06,14.5,208,3.8,60,0.1638655462184874,65.16274864376132,78.93240556660041,42.320954907161806,37.793982148762645,64.21775277124623,E. Berisha,E. Berisha,Etrit Berisha,GK,78,Atalanta,29,1989-03-10,194,92,it Serie A,GK,Albania,,,,26,17,24,57,39,64,15,30,12,42,22,59,79,76,67,78,81,28.0,1989
9,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,38,3420.0,58,1.53,70.0,10,26.3,5,4,1,0,1997,0,0,0,4,60.4,0.31,3.4,0.09,690,33.9,290,83.4,55.2,825,54.3,40.0,0.87,14.5,491,5.7,45,0.46643356643356637,63.53526220614829,75.0437375745527,67.78514588859417,79.73989788681956,61.489334900906954,P. Bernardoni,P. Bernardoni,Paul Jean François Bernardoni,GK,72,Nîmes Olympique,21,1997-04-18,190,78,fr Ligue 1,GK,France,,,,24,25,19,46,30,46,16,29,15,21,19,55,72,73,69,73,74,29.0,1997
