,Age,height_cm,weight_kg,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,overall,mental_score
0,32,191,87,78,77,70,80,80,41.0,79,28.0
1,30,190,80,81,76,69,75,84,45.0,79,32.4
2,24,191,91,75,76,70,78,86,39.0,80,38.0
3,24,195,94,81,77,70,74,83,53.0,79,27.4
4,33,188,75,75,70,77,71,78,43.0,75,28.0
5,27,187,82,82,82,64,81,84,49.0,82,31.4
6,30,199,83,81,81,73,79,82,55.0,82,37.2
7,27,192,93,73,74,60,73,74,48.0,73,24.4
8,24,191,91,71,69,65,70,74,47.0,71,27.2
9,28,194,92,79,76,67,78,81,28.0,78,32.0
10,39,193,89,74,76,67,79,72,50.0,75,35.8
11,26,192,78,68,78,69,71,66,35.0,71,27.0
12,25,187,74,67,72,75,67,72,32.0,70,20.8
13,39,191,94,89,88,74,90,84,46.0,89,38.4
14,26,187,85,84,82,73,80,85,48.0,84,34.6
15,24,196,95,81,83,72,78,85,41.0,81,36.0
16,25,197,86,80,69,74,75,82,45.0,78,31.2
17,35,196,90,82,87,76,83,81,42.0,86,35.2
18,27,186,82,73,73,62,72,75,52.0,73,25.6
19,30,189,82,82,83,72,81,84,40.0,82,27.6
20,34,188,83,68,70,62,72,74,26.0,72,22.6
21,30,187,88,82,80,78,82,84,51.0,82,29.2
22,25,199,94,85,91,69,86,88,49.0,89,31.8
23,23,184,78,82,62,54,69,80,39.0,72,36.0
24,25,190,81,68,78,77,77,73,37.0,74,23.8
25,18,196,90,88,78,72,78,88,50.0,82,37.2
26,23,188,86,81,76,82,78,87,63.0,83,37.2
27,31,190,98,70,69,69,70,71,48.0,71,28.0
28,32,190,83,77,84,70,78,84,48.0,80,39.0
29,28,196,95,83,86,52,85,87,43.0,84,34.2
30,29,201,93,74,78,69,76,80,34.0,77,31.2
31,34,193,90,79,79,73,77,84,49.0,80,35.8
32,23,194,80,75,71,66,73,76,42.0,73,32.6
33,27,190,83,74,78,75,70,79,40.0,76,29.4
34,30,182,82,74,75,73,74,74,45.0,73,28.4
35,30,196,91,83,78,75,81,83,60.0,82,40.0
36,30,198,90,73,76,80,76,71,41.0,74,31.6
37,29,192,84,82,75,73,79,82,44.0,79,22.4
38,24,192,90,83,81,83,82,86,48.0,84,30.4
39,27,190,80,79,77,73,79,85,41.0,81,32.2
40,32,190,82,78,81,72,87,85,43.0,82,30.8
41,27,187,84,75,70,77,75,79,49.0,75,32.2
42,20,196,84,70,68,65,67,73,39.0,70,20.2
43,24,189,75,84,74,74,76,85,50.0,80,24.8
44,32,190,81,80,83,70,80,84,39.0,82,23.6
45,34,185,74,73,64,70,69,76,42.0,71,24.8
46,24,197,95,69,67,63,70,64,25.0,68,28.8
47,18,193,82,78,77,71,76,79,46.0,77,26.0
48,26,186,78,78,74,79,76,80,42.0,78,26.4
49,25,190,83,85,84,74,85,83,49.0,85,34.6
50,26,193,93,75,74,67,76,81,39.0,76,18.2
51,30,188,82,88,86,68,82,90,64.0,88,34.4
52,26,184,81,86,81,71,79,85,62.0,83,30.6
53,28,195,88,74,77,67,71,77,32.0,75,23.6
54,22,191,89,72,68,68,72,73,43.0,72,23.0
55,32,185,82,86,78,77,77,85,48.0,82,35.4
56,25,189,90,74,69,66,76,79,45.0,75,31.4
57,27,193,79,76,73,61,74,78,57.0,75,41.0
58,20,190,83,76,70,65,74,77,45.0,74,21.8
59,29,193,87,80,76,65,78,84,56.0,81,39.4
60,34,193,79,82,80,64,78,82,43.0,80,34.2
61,30,185,78,87,82,72,80,85,53.0,85,35.2
62,28,190,84,84,80,74,74,83,51.0,80,33.0
63,24,189,82,84,90,77,87,84,52.0,88,33.2
64,29,185,78,72,66,65,71,70,46.0,68,21.2
65,25,196,81,73,72,67,74,77,31.0,74,23.6
66,24,188,77,80,85,71,78,90,56.0,83,32.0
67,23,185,77,77,76,85,73,82,44.0,77,39.8
68,25,192,76,72,67,66,67,69,47.0,68,29.4
69,36,187,81,73,71,59,68,74,39.0,71,30.4
70,26,185,85,77,76,74,77,81,43.0,78,24.4
71,31,192,86,80,72,74,78,82,47.0,79,32.8
72,33,187,81,77,72,71,68,70,40.0,72,33.6
73,30,188,93,82,84,77,85,87,48.0,85,34.8
74,25,189,84,85,79,75,82,86,51.0,83,30.0
75,25,184,82,76,74,90,74,78,52.0,77,39.0
76,27,198,85,78,71,67,71,78,52.0,74,23.0
77,30,189,89,83,82,82,80,86,61.0,83,36.8
78,25,189,83,75,74,71,69,77,37.0,75,24.0
79,30,192,80,79,76,73,77,80,51.0,79,32.8
80,28,183,79,81,82,83,80,83,51.0,83,38.4
81,38,186,86,80,80,65,82,80,37.0,79,30.4
82,38,186,80,74,70,67,67,73,43.0,71,24.0
83,25,192,87,80,76,68,77,81,43.0,78,31.0
84,22,186,78,74,70,73,69,80,44.0,74,26.8
85,32,191,84,84,79,79,85,87,53.0,85,37.2
86,27,196,85,83,77,74,78,87,49.0,82,37.0
87,25,187,85,84,83,87,81,86,45.0,85,39.6
88,31,196,93,72,69,66,70,75,42.0,72,28.0
89,28,192,84,80,73,51,73,77,40.0,76,23.2
90,37,185,78,75,76,77,76,77,37.0,76,23.0
91,31,195,90,81,84,79,78,83,32.0,82,34.6
92,25,186,80,65,53,50,64,69,44.0,62,23.6
93,22,194,96,65,62,60,61,67,65.0,64,22.8
94,28,188,83,79,80,70,77,79,48.0,79,34.2
